,Product Name,Price
41,"Starlink Standard Actuated Kit: High-Speed, Low-Latency Internet with Gen 2 Router, Wi-Fi 5.","KSh 39,999"
42,LED 2.4G Rechargeable Wireless Mouse,KSh 390
43,Qwen Aluminum Alloy Laptop Stand Computer Stand,KSh 560
44,Bluetooth + 2.4G Dual-mode Rechargeable Wireless LED Mouse - Silver,KSh 330
45,"Handheld Rechargeable Mini Fan//c.e""",KSh 650
46,RichRipple Portable Plastic Laptop Stand 10-hole Adjustable Foldable Ipad Computer Stand,KSh 299
47,RichRipple Rechargeable 2.4G Wireless Slient Mouse Bluetooth 5.0 USB LED Ultrathin Mice,KSh 359
48,"Stand, Laptop Holder Riser Computer Stand, Adjustable Aluminum Foldable Portable Notebook Stand",KSh 900
49,Ultra-thin Wireless Mouse 2.4G Rechargeable,KSh 450
50,Portable ALUMINIUM ALLOY Fold-able Computer Support Laptop Stand,KSh 475
51,Foldable Portable Laptop Stand With Mobile Phone Stand 2 In 1,KSh 790
52,4 In 1 Type-c+HDMI+VGA+PD Charging+USB 3.0 Adapter Docking Station Hub,KSh 950
53,8 LED USB Powered Operated Mini White For Office Students Library,KSh 190
54,"Anti-Slip World Map Pattern Game Mouse Pad Keyboard Mat, Size: 80 X 30cm",KSh 599
55,Summer Usb Fan Cooler Cooling Mini Fan,"KSh 1,520"
56,Bluetooth + 2.4G Dual-mode Rechargeable Wireless LED Mouse - Gold,KSh 350
57,AV Digital HDMI Compatible To 3 RCA Audio Ad Ter Component Converter Video,KSh 366
58,Car Scratch Repair Paste Universal Polishing Agent,KSh 151
59,10 Inch LCD Writing Tablet Electronic Digital Drawing Board,KSh 370
60,Anti-Skid Mouse Pad Natural Rubber,KSh 240
61,VGA To HDMI Converter Adapter Cable With Audio,KSh 699
62,"Display Port To VGA Adapter 1080P For PC, Laptop, HDTV, Monitor, Projector",KSh 499
63,USB Printer Cable USB 3.0 Type A Male To B Male Cable,KSh 438 - KSh 719
64,Bluetooth + 2.4G Dual-mode Rechargeable Wireless LED Mouse - White,KSh 350
65,Epson Monochrome M2140 All-in-One Duplex InkTank Printer...(1 YR WRTY),"KSh 54,990"
66,Epson EcoTank L8160 A4 Multi-Function Photo Inktank Printer(1 YR WRTY),"KSh 115,000"
67,"Epson EcoTank Monochrome M2140 All-in-One Ink Tank Printer,  (1YR WRTY)","KSh 62,000"
68,"Epson EcoTank L4260 A4 Wi-Fi Duplex (All-in-One) Ink Tank Printer,  (1YR WRTY)","KSh 55,999"
69,Epson TM-L90 Serial + Built-in USB Thermal Label Barcode Printer(1 YR WRTY),"KSh 80,000"
70,"Epson EcoTank L5290 A4 Wi-Fi (All-in-One) Ink Tank Printer With ADF,  (1YR WRTY)","KSh 69,999"
71,"Epson L1800 A3 Photo Ink Tank Printer-Black,  (1YR WRTY)","KSh 155,000"
72,"Epson EcoTank L6570 Wi-Fi Duplex Multifunction ADF InkTank Printer,  (1YR WRTY)","KSh 158,000"
73,"Epson EcoTank L18050 A3+ Wi-Fi Ink Tank Photo Printer,  (1YR WRTY)","KSh 160,000"
74,Epson EcoTank L6550 A4 Colour Wi-Fi Duplex All-in-One Ink Tank Printer(1 YR WRTY),"KSh 175,000"
75,Epson EcoTank L15150 A3 Wi-Fi Duplex All-in-One Ink Tank Printer (C11CH72403DA)(1 YR WRTY),"KSh 180,000"
76,"Epson EcoTank Monochrome M15180 A3 Wi-Fi Duplex Multi-Function Ink Tank Printer,  (1YR WRTY)","KSh 140,000"
77,"Epson EcoTank L6270 A4, Wi-Fi, Duplex (All-in-One) Ink Tank Printer With ADF,  (1YR WRTY)","KSh 79,999"
78,Epson Eco Ink Tank Printer MFP L3250 AIO (C11CJ67418)(1 YR WRTY),"KSh 35,000"
79,Epson LQ-690II Dot Matrix Printer (C11CJ82402)(1 YR WRTY),"KSh 120,000"
80,,KSh 670
81,,KSh 390
82,,KSh 680
83,,KSh 359
84,,KSh 380
85,,KSh 560
86,,KSh 650
87,,KSh 795
88,,KSh 620
89,,KSh 475
90,,"KSh 11,999"
91,,"KSh 39,999"
92,,"KSh 427 - KSh 2,287"
93,,KSh 645
94,,"KSh 15,999"
95,,KSh 299
96,,KSh 350
97,,KSh 450
98,,KSh 590
99,,KSh 860
100,,KSh 540
101,,"KSh 13,999"
102,,KSh 520
103,,KSh 330
104,,"KSh 39,999"
105,,KSh 900
106,,KSh 790
107,,KSh 650
108,,"KSh 1,299"
109,,"KSh 1,947"
110,,KSh 299
111,,"KSh 1,350"
112,,KSh 499
113,,KSh 750
114,,KSh 399
115,,"KSh 19,299"
116,,"KSh 16,499"
117,,"KSh 1,400"
118,,"KSh 16,999"
119,,"KSh 14,999"
